X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.002944579943358274,43.95313898182705,0.6398408417248499
2.0,2.0,train,0.0031978123143981195,52.660127581064636,0.670122106214062
3.0,3.0,train,0.0024025876716533404,21.563663408142197,0.5653616604113894
4.0,4.0,train,0.003147736401298608,49.48564199180081,0.6643431408687794
5.0,5.0,train,0.0028446728125195372,40.18251378142379,0.6271430574305069
6.0,6.0,train,0.0019883362527208996,10.387188638227942,0.498210483512353
7.0,7.0,train,0.0019193802419275924,8.915914733192775,0.48606573736877345
8.0,8.0,train,0.0025392158332976818,29.965609497521836,0.5854762404397136
9.0,9.0,train,0.00425588571712242,84.5850726472528,0.7714460422862919
10.0,10.0,train,0.002981670863923955,44.54589070675734,0.6444440771025459
11.0,11.0,train,0.0040830733708725996,80.43621277373738,0.7573293098028594
12.0,12.0,train,0.0034312950276923406,62.62851746902635,0.6957808075209266
13.0,13.0,train,0.0010136512464622967,3.8609373102391307,0.2963992540357582
14.0,14.0,train,0.002221479326962059,16.459516187352566,0.5371863754001198
15.0,15.0,train,0.002864432821957568,41.03861258102446,0.6296894978233014
16.0,16.0,train,0.002606675695994674,32.5425477251688,0.5950617642582181
17.0,17.0,train,0.002864432821957568,41.03861258102446,0.6296894978233014
18.0,18.0,train,0.0025660550961795164,30.730955774687935,0.589316775493119
19.0,19.0,train,0.002837598979058328,39.897812805970325,0.6262272139009643
20.0,20.0,train,0.0030838748314867947,46.669347638588,0.6568261379969557
21.0,21.0,train,0.003544472806236729,66.45632506412234,0.707490453272452
22.0,22.0,train,0.0023645100424669104,20.13113843342489,0.5595838930017866
23.0,23.0,train,0.002497214212131839,27.690308498797943,0.5793938569504962
24.0,24.0,train,0.0024681757575136538,25.951082816375962,0.5751366066632724
25.0,25.0,train,5.801035215600281E-4,1.5355615152232738,0.18223935698786886
26.0,26.0,train,0.002523632967432443,28.446366463687976,0.5832299691737902
27.0,27.0,train,0.0024047323991473286,22.044895242562095,0.5656848296617962
28.0,28.0,train,0.0013131739544220715,5.365944571887557,0.36581947302774154
29.0,29.0,train,0.0019633996749350794,9.69380236119207,0.49385206311475216
30.0,30.0,train,0.002252203179456737,17.58054089390874,0.5420916290623224
31.0,31.0,train,0.0022442545487494268,17.131724104169425,0.5408275884489961
